         84298311 function calls (84271918 primitive calls) in 78.872 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      675    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      675    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     2025    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      675    0.001    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     6438    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      801    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     6438    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     1350    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      675    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    675/3    0.001    0.000    0.640    0.213 <frozen importlib._bootstrap_external>:722(exec_module)
     3076    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      675    0.004    0.000    0.095    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     1168    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      675    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      675    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      675    0.006    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     1077    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      675    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
      574    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.036    0.036 AtomGroup.py:23(<module>)
        7    0.000    0.000    0.000    0.000 AtomGroup.py:31(deprecate_class)
        7    0.000    0.000    0.000    0.000 AtomGroup.py:34(new_class)
        1    0.000    0.000    0.000    0.000 CRD.py:116(CRDWriter)
        1    0.000    0.000    0.000    0.000 CRD.py:31(<module>)
        1    0.000    0.000    0.000    0.000 CRD.py:45(CRDReader)
        1    0.000    0.000    0.000    0.000 CRDParser.py:47(<module>)
        1    0.000    0.000    0.000    0.000 CRDParser.py:69(CRDParser)
        1    0.000    0.000    0.030    0.030 CodonTable.py:14(<module>)
       78    0.000    0.000    0.001    0.000 CodonTable.py:151(make_back_table)
        1    0.000    0.000    0.000    0.000 CodonTable.py:166(NCBICodonTable)
       78    0.000    0.000    0.001    0.000 CodonTable.py:172(__init__)
        1    0.000    0.000    0.000    0.000 CodonTable.py:187(NCBICodonTableDNA)
        1    0.000    0.000    0.000    0.000 CodonTable.py:193(NCBICodonTableRNA)
        1    0.000    0.000    0.000    0.000 CodonTable.py:201(AmbiguousCodonTable)
       78    0.000    0.000    0.027    0.000 CodonTable.py:204(__init__)
      161    0.015    0.000    0.026    0.000 CodonTable.py:261(list_ambiguous_codons)
      656    0.001    0.000    0.002    0.000 CodonTable.py:282(<genexpr>)
     2628    0.001    0.000    0.001    0.000 CodonTable.py:284(<setcomp>)
      445    0.001    0.000    0.002    0.000 CodonTable.py:286(<genexpr>)
     2628    0.001    0.000    0.001    0.000 CodonTable.py:288(<setcomp>)
      687    0.001    0.000    0.002    0.000 CodonTable.py:290(<genexpr>)
     2628    0.001    0.000    0.001    0.000 CodonTable.py:292(<setcomp>)
     4436    0.004    0.000    0.004    0.000 CodonTable.py:307(<listcomp>)
        1    0.000    0.000    0.000    0.000 CodonTable.py:353(AmbiguousForwardTable)
       78    0.001    0.000    0.002    0.000 CodonTable.py:356(__init__)
        1    0.000    0.000    0.000    0.000 CodonTable.py:45(TranslationError)
       26    0.001    0.000    0.029    0.001 CodonTable.py:473(register_ncbi_table)
       26    0.000    0.000    0.000    0.000 CodonTable.py:482(<listcomp>)
        1    0.000    0.000    0.000    0.000 CodonTable.py:51(CodonTable)
       78    0.000    0.000    0.000    0.000 CodonTable.py:63(__init__)
        1    0.000    0.000    0.000    0.000 DCD.py:341(DCDWriter)
        1    0.000    0.000    0.000    0.000 DCD.py:58(<module>)
        1    0.000    0.000    0.000    0.000 DCD.py:78(DCDReader)
        1    0.000    0.000    0.000    0.000 DLPoly.py:144(HistoryReader)
        1    0.000    0.000    0.000    0.000 DLPoly.py:30(<module>)
        1    0.000    0.000    0.000    0.000 DLPoly.py:44(Timestep)
        1    0.000    0.000    0.000    0.000 DLPoly.py:57(ConfigReader)
        1    0.000    0.000    0.000    0.000 DLPolyParser.py:124(HistoryParser)
        1    0.000    0.000    0.000    0.000 DLPolyParser.py:37(<module>)
        1    0.000    0.000    0.000    0.000 DLPolyParser.py:58(ConfigParser)
        1    0.000    0.000    0.001    0.001 DMS.py:34(<module>)
        1    0.000    0.000    0.000    0.000 DMS.py:44(Timestep)
        1    0.000    0.000    0.000    0.000 DMS.py:65(DMSReader)
        1    0.000    0.000    0.000    0.000 DMSParser.py:42(<module>)
        1    0.000    0.000    0.000    0.000 DMSParser.py:68(Atomnums)
        1    0.000    0.000    0.000    0.000 DMSParser.py:74(DMSParser)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
        1    0.000    0.000    0.001    0.001 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
        1    0.000    0.000    0.000    0.000 ExtendedPDBParser.py:55(<module>)
        1    0.000    0.000    0.000    0.000 ExtendedPDBParser.py:61(ExtendedPDBParser)
        1    0.000    0.000    0.000    0.000 GMS.py:39(<module>)
        1    0.000    0.000    0.000    0.000 GMS.py:50(GMSReader)
        1    0.000    0.000    0.000    0.000 GMSParser.py:47(<module>)
        1    0.000    0.000    0.000    0.000 GMSParser.py:68(AtomicCharges)
        1    0.000    0.000    0.000    0.000 GMSParser.py:74(GMSParser)
        1    0.000    0.000    0.000    0.000 GRO.py:105(<module>)
        1    0.000    0.000    0.000    0.000 GRO.py:121(Timestep)
        1    0.000    0.000    0.000    0.000 GRO.py:164(GROReader)
        1    0.000    0.000    0.000    0.000 GRO.py:255(GROWriter)
        1    0.000    0.000    0.000    0.000 GROParser.py:46(<module>)
        1    0.000    0.000    0.000    0.000 GROParser.py:68(GROParser)
        1    0.000    0.000    0.000    0.000 GSD.py:47(<module>)
        1    0.000    0.000    0.000    0.000 GSD.py:57(GSDReader)
        1    0.000    0.000    0.003    0.003 GSDParser.py:53(<module>)
        1    0.000    0.000    0.000    0.000 GSDParser.py:83(GSDParser)
        1    0.000    0.000    0.002    0.002 HoomdXMLParser.py:48(<module>)
        1    0.000    0.000    0.000    0.000 HoomdXMLParser.py:74(HoomdXMLParser)
        1    0.000    0.000    0.000    0.000 INPCRD.py:39(<module>)
        1    0.000    0.000    0.000    0.000 INPCRD.py:46(INPReader)
        1    0.000    0.000    0.000    0.000 IUPAC.py:102(IUPACAmbiguousRNA)
        1    0.000    0.000    0.000    0.000 IUPAC.py:111(IUPACUnambiguousRNA)
        1    0.000    0.000    0.000    0.000 IUPAC.py:23(ExtendedIUPACProtein)
        1    0.000    0.000    0.000    0.000 IUPAC.py:47(IUPACProtein)
        1    0.000    0.000    0.000    0.000 IUPAC.py:63(IUPACAmbiguousDNA)
        1    0.000    0.000    0.000    0.000 IUPAC.py:72(IUPACUnambiguousDNA)
        1    0.000    0.000    0.001    0.001 IUPAC.py:8(<module>)
        1    0.000    0.000    0.000    0.000 IUPAC.py:82(ExtendedIUPACDNA)
        3    0.000    0.000    0.000    0.000 IUPACData.py:145(_make_ranges)
        3    0.000    0.000    0.000    0.000 IUPACData.py:189(_make_ambiguous_ranges)
       58    0.000    0.000    0.000    0.000 IUPACData.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 IUPACData.py:47(<dictcomp>)
        1    0.000    0.000    0.000    0.000 IUPACData.py:49(<dictcomp>)
        1    0.000    0.000    0.000    0.000 IUPACData.py:7(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:2428(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2433(ImageTransformHandler)
        1    0.000    0.000    0.004    0.004 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:3099(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3135(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:490(_E)
        1    0.000    0.000    0.000    0.000 Image.py:531(Image)
        1    0.000    0.000    0.000    0.000 Image.py:66(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:70(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 Image.py:74(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.014    0.014 LAMMPS.py:123(<module>)
        1    0.000    0.000    0.000    0.000 LAMMPS.py:143(DCDWriter)
        1    0.000    0.000    0.000    0.000 LAMMPS.py:168(DCDReader)
        1    0.000    0.000    0.000    0.000 LAMMPS.py:194(DATAReader)
        1    0.000    0.000    0.000    0.000 LAMMPS.py:224(DATAWriter)
        1    0.000    0.000    0.000    0.000 LAMMPS.py:458(DumpReader)
        1    0.000    0.000    0.000    0.000 LAMMPSParser.py:176(DATAParser)
        1    0.000    0.000    0.000    0.000 LAMMPSParser.py:584(LammpsDumpParser)
        1    0.000    0.000    0.000    0.000 LAMMPSParser.py:632(LAMMPSAtom)
        1    0.000    0.000    0.000    0.000 LAMMPSParser.py:668(LAMMPSDataConverter)
        1    0.000    0.000    0.000    0.000 LAMMPSParser.py:79(<module>)
        1    0.000    0.000    0.000    0.000 MMTF.py:43(<module>)
        1    0.000    0.000    0.000    0.000 MMTF.py:60(MMTFReader)
        1    0.000    0.000    0.000    0.000 MMTFParser.py:108(Models)
        1    0.000    0.000    0.000    0.000 MMTFParser.py:133(ModelSelection)
        1    0.000    0.000    0.000    0.000 MMTFParser.py:152(MMTFParser)
        1    0.000    0.000    0.000    0.000 MMTFParser.py:68(<module>)
        1    0.000    0.000    0.000    0.000 MOL2.py:113(<module>)
        1    0.000    0.000    0.000    0.000 MOL2.py:123(MOL2Reader)
        1    0.000    0.000    0.000    0.000 MOL2.py:249(MOL2Writer)
        1    0.000    0.000    0.000    0.000 MOL2Parser.py:43(<module>)
        1    0.000    0.000    0.000    0.000 MOL2Parser.py:67(MOL2Parser)
